Route No.,Bus No.,From,To,Distance (km)
RT988,PB-52-3002,Moga,Ferozepur,70.6
RT873,PB-57-9372,Chandigarh,Bathinda,238.3
RT159,PB-55-7943,Ferozepur,Hoshiarpur,167.7
RT476,PB-51-7414,Patiala,Ferozepur,228.3
RT516,PB-52-5811,Patiala,Hoshiarpur,165.3
RT202,PB-33-4061,Jalandhar,Hoshiarpur,47.8
RT142,PB-75-2107,Ropar,Ludhiana,75.6
RT771,PB-23-2398,Pathankot,Ferozepur,215.6
RT368,PB-68-9175,Hoshiarpur,Ludhiana,82.1
RT626,PB-88-3395,Bathinda,Ropar,211.2
RT142,PB-73-2031,Amritsar,Ferozepur,100.5
RT723,PB-64-4373,Ferozepur,Bathinda,104.4
RT321,PB-25-1169,Mohali,Kapurthala,173.3
RT936,PB-87-8125,Moga,Chandigarh,188.7
RT245,PB-14-6701,Amritsar,Hoshiarpur,126.5
RT846,PB-54-8006,Ludhiana,Kapurthala,82.8
RT843,PB-81-9710,Bathinda,Ropar,210.7
RT944,PB-77-3116,Patiala,Amritsar,255.8
RT295,PB-84-1517,Amritsar,Chandigarh,252.4
RT656,PB-20-3561,Amritsar,Ludhiana,150.2
RT836,PB-83-2817,Patiala,Mohali,63.0
RT654,PB-50-2332,Jalandhar,Patiala,163.6
RT316,PB-17-1080,Bathinda,Hoshiarpur,212.7
RT921,PB-23-9700,Patiala,Ferozepur,217.7
RT237,PB-49-9942,Ferozepur,Moga,64.2
RT714,PB-33-4505,Jalandhar,Ferozepur,126.6
RT696,PB-60-2833,Mohali,Ludhiana,109.2
RT823,PB-38-9950,Moga,Pathankot,209.9
RT192,PB-92-3340,Patiala,Jalandhar,162.0
RT107,PB-82-7175,Kapurthala,Bathinda,166.6
RT732,PB-75-6388,Ludhiana,Hoshiarpur,87.2
RT428,PB-51-2840,Ludhiana,Ferozepur,141.7
RT607,PB-78-5100,Patiala,Ludhiana,103.3
RT930,PB-26-3791,Bathinda,Pathankot,290.3
RT639,PB-63-9335,Jalandhar,Ferozepur,119.4
RT355,PB-68-4369,Ropar,Ludhiana,74.5
RT154,PB-40-1318,Pathankot,Bathinda,279.7
RT944,PB-27-9600,Ferozepur,Hoshiarpur,171.4
RT937,PB-56-7792,Kapurthala,Moga,81.9
RT825,PB-71-9782,Ropar,Pathankot,212.0
RT868,PB-99-9492,Mohali,Moga,181.5
RT382,PB-84-5463,Amritsar,Kapurthala,66.3
RT807,PB-92-8338,Patiala,Pathankot,280.4
RT732,PB-25-4838,Jalandhar,Ferozepur,123.4
RT749,PB-27-2847,Bathinda,Ropar,209.1
RT714,PB-51-7988,Jalandhar,Ludhiana,65.4
RT801,PB-96-9273,Pathankot,Moga,214.5
RT254,PB-70-2797,Bathinda,Ropar,207.8
RT681,PB-89-8390,Hoshiarpur,Amritsar,114.9
RT545,PB-31-1860,Amritsar,Mohali,262.1
RT836,PB-50-1138,Moga,Ludhiana,79.5
RT929,PB-32-7738,Ludhiana,Ferozepur,139.9
RT119,PB-58-5649,Ludhiana,Pathankot,179.4
RT103,PB-87-1230,Ludhiana,Jalandhar,63.9
RT275,PB-21-8772,Patiala,Hoshiarpur,181.3
RT904,PB-28-4840,Patiala,Jalandhar,159.2
RT944,PB-40-2802,Ferozepur,Chandigarh,263.1
RT918,PB-63-1865,Moga,Mohali,180.0
RT954,PB-24-8675,Moga,Ferozepur,63.0
RT539,PB-50-3067,Jalandhar,Bathinda,160.4
RT683,PB-85-2847,Bathinda,Ferozepur,106.0
RT702,PB-92-4665,Ludhiana,Mohali,98.3
RT633,PB-65-5800,Pathankot,Bathinda,285.9
RT754,PB-66-3174,Pathankot,Amritsar,132.1
RT126,PB-36-8847,Ropar,Chandigarh,41.9
RT536,PB-27-3778,Hoshiarpur,Pathankot,105.5
RT841,PB-52-9861,Mohali,Ropar,41.4
RT336,PB-99-6984,Ferozepur,Hoshiarpur,176.6
RT721,PB-13-7774,Amritsar,Ropar,211.1
RT315,PB-35-7060,Mohali,Ropar,42.0
RT811,PB-80-1092,Chandigarh,Ludhiana,110.6
RT419,PB-36-4976,Jalandhar,Moga,84.6
RT528,PB-15-1657,Pathankot,Ludhiana,179.2
RT543,PB-65-5909,Mohali,Ropar,41.0
RT939,PB-60-7048,Mohali,Chandigarh,7.9
RT283,PB-82-9098,Pathankot,Mohali,235.9
RT631,PB-65-7511,Moga,Hoshiarpur,135.2
RT963,PB-10-3313,Ferozepur,Pathankot,231.8
RT385,PB-19-7187,Jalandhar,Kapurthala,22.8
RT894,PB-81-2717,Patiala,Kapurthala,173.7
RT375,PB-79-9491,Hoshiarpur,Kapurthala,66.0
RT877,PB-73-6403,Ferozepur,Amritsar,98.6
RT102,PB-82-2832,Moga,Jalandhar,80.5
RT587,PB-36-4889,Moga,Kapurthala,81.8
RT656,PB-73-1563,Patiala,Ferozepur,229.7
RT727,PB-35-5470,Ludhiana,Patiala,93.1
RT862,PB-32-4058,Kapurthala,Ferozepur,102.9
RT458,PB-89-4786,Mohali,Kapurthala,175.5
RT266,PB-49-1982,Bathinda,Ropar,211.8
RT697,PB-78-3329,Patiala,Moga,165.3
RT798,PB-32-5069,Moga,Bathinda,88.6
RT968,PB-35-1223,Amritsar,Ropar,204.7
RT952,PB-50-5165,Ropar,Mohali,42.5
RT656,PB-97-8406,Moga,Ferozepur,63.4
RT774,PB-55-9567,Ropar,Ludhiana,76.7
RT389,PB-33-7575,Bathinda,Ferozepur,108.7
RT228,PB-26-6913,Mohali,Chandigarh,7.9
RT506,PB-55-8410,Ropar,Pathankot,198.7
RT311,PB-41-9225,Bathinda,Patiala,175.6
RT166,PB-94-5174,Chandigarh,Ropar,41.7
RT510,PB-44-1747,Ludhiana,Hoshiarpur,90.8
RT699,PB-81-3950,Ludhiana,Moga,81.4
RT172,PB-50-5672,Jalandhar,Ludhiana,65.2
RT254,PB-34-8458,Moga,Amritsar,113.4
RT190,PB-95-2418,Pathankot,Jalandhar,135.7
RT767,PB-26-8778,Pathankot,Jalandhar,122.6
RT410,PB-74-5060,Hoshiarpur,Patiala,170.0
RT403,PB-88-6925,Bathinda,Ludhiana,136.3
RT326,PB-59-5287,Ludhiana,Hoshiarpur,89.3
RT128,PB-49-4675,Ropar,Amritsar,212.5
RT417,PB-41-7980,Kapurthala,Mohali,191.3
RT727,PB-68-6899,Amritsar,Moga,117.6
RT919,PB-75-1261,Jalandhar,Ludhiana,69.8
RT989,PB-89-8049,Ludhiana,Pathankot,197.8
RT392,PB-31-3466,Pathankot,Moga,216.9
RT807,PB-78-7058,Amritsar,Mohali,253.3
RT410,PB-76-8074,Moga,Chandigarh,194.2
RT492,PB-48-5048,Pathankot,Moga,216.0
RT754,PB-19-2360,Patiala,Jalandhar,157.9
RT241,PB-69-1622,Jalandhar,Amritsar,87.5
RT973,PB-22-2517,Jalandhar,Pathankot,125.0
RT115,PB-81-8893,Moga,Pathankot,217.9
RT764,PB-18-3042,Ludhiana,Moga,83.0
RT363,PB-42-2261,Chandigarh,Ludhiana,113.3
RT561,PB-12-3659,Pathankot,Chandigarh,234.0
RT487,PB-22-5400,Patiala,Chandigarh,71.0
RT880,PB-49-3883,Bathinda,Patiala,163.8
RT855,PB-39-6808,Jalandhar,Mohali,165.7
RT453,PB-24-4108,Jalandhar,Bathinda,177.9
RT379,PB-77-3934,Patiala,Hoshiarpur,178.6
RT857,PB-16-4338,Bathinda,Ferozepur,109.8
RT592,PB-58-5662,Hoshiarpur,Ropar,110.7
RT783,PB-50-7552,Chandigarh,Kapurthala,195.6
RT563,PB-49-9238,Mohali,Moga,180.9
RT543,PB-59-9271,Ludhiana,Kapurthala,88.8
RT201,PB-37-3244,Ludhiana,Bathinda,150.9
RT624,PB-90-6228,Ferozepur,Hoshiarpur,177.8
RT743,PB-90-4098,Moga,Hoshiarpur,128.6
RT165,PB-19-5696,Patiala,Moga,158.3
RT117,PB-80-6874,Bathinda,Ropar,206.9
RT180,PB-22-7114,Moga,Ropar,162.0
RT588,PB-99-7812,Moga,Ludhiana,79.8
RT390,PB-22-8999,Patiala,Chandigarh,73.6
RT824,PB-26-6627,Jalandhar,Amritsar,91.3
RT348,PB-22-3353,Chandigarh,Mohali,8.4
RT740,PB-40-1939,Jalandhar,Ferozepur,128.7
RT109,PB-82-5487,Pathankot,Bathinda,287.3
RT375,PB-78-2440,Patiala,Bathinda,179.8
RT756,PB-30-6167,Ferozepur,Ludhiana,145.9
RT281,PB-13-9917,Hoshiarpur,Pathankot,101.8
RT210,PB-43-9949,Amritsar,Patiala,246.1
RT369,PB-38-8592,Pathankot,Ferozepur,213.4
RT747,PB-27-9055,Ropar,Ferozepur,211.6
RT973,PB-67-8746,Bathinda,Amritsar,184.2
RT228,PB-86-5986,Chandigarh,Moga,200.3
RT484,PB-19-6643,Mohali,Moga,172.6
RT368,PB-80-4624,Patiala,Chandigarh,72.5
RT119,PB-54-1373,Amritsar,Mohali,245.0
RT946,PB-24-3575,Hoshiarpur,Kapurthala,68.4
RT774,PB-18-6113,Jalandhar,Hoshiarpur,48.8
RT105,PB-53-6190,Pathankot,Chandigarh,251.9
RT920,PB-59-6253,Kapurthala,Mohali,174.2
RT298,PB-26-3140,Amritsar,Moga,120.2
RT468,PB-32-4628,Bathinda,Jalandhar,166.1
RT688,PB-73-3438,Mohali,Ropar,45.1
RT543,PB-71-6355,Amritsar,Mohali,237.8
RT338,PB-93-7825,Pathankot,Ropar,194.4
RT240,PB-85-7859,Hoshiarpur,Ludhiana,87.7
RT283,PB-41-3910,Pathankot,Bathinda,281.3
RT829,PB-82-1944,Ropar,Amritsar,216.9
RT267,PB-92-3834,Ludhiana,Ferozepur,147.5
RT880,PB-74-2548,Moga,Mohali,182.3
RT195,PB-60-8789,Amritsar,Patiala,255.8
RT675,PB-15-8847,Chandigarh,Moga,195.5
RT128,PB-29-2615,Hoshiarpur,Ropar,100.4
RT605,PB-92-6629,Ludhiana,Jalandhar,63.6
RT426,PB-57-9172,Amritsar,Ropar,217.5
RT522,PB-52-1778,Amritsar,Kapurthala,70.4
RT582,PB-26-5200,Pathankot,Kapurthala,120.7
RT446,PB-97-4331,Pathankot,Mohali,250.2
RT837,PB-86-7272,Ludhiana,Mohali,102.8
RT775,PB-84-8756,Chandigarh,Jalandhar,168.5
RT887,PB-93-4597,Amritsar,Hoshiarpur,120.6
RT145,PB-32-4533,Chandigarh,Ludhiana,116.7
RT301,PB-68-5819,Kapurthala,Ludhiana,86.9
RT359,PB-55-6127,Moga,Patiala,154.5
RT477,PB-98-6982,Amritsar,Pathankot,122.6
RT812,PB-33-4034,Patiala,Kapurthala,173.5
RT784,PB-79-6057,Patiala,Ropar,82.5
RT915,PB-98-5325,Jalandhar,Ropar,123.9
RT167,PB-61-6737,Patiala,Jalandhar,160.6
RT751,PB-76-7683,Patiala,Bathinda,170.3
RT231,PB-15-2317,Amritsar,Kapurthala,72.5
RT852,PB-51-2040,Chandigarh,Kapurthala,180.7
RT662,PB-49-2411,Ludhiana,Jalandhar,68.2
RT246,PB-52-4704,Bathinda,Patiala,169.2
RT103,PB-23-2996,Mohali,Hoshiarpur,150.6
RT261,PB-78-5157,Pathankot,Amritsar,126.4
RT690,PB-47-2051,Chandigarh,Patiala,70.4
RT878,PB-53-4947,Ferozepur,Moga,70.2
RT254,PB-98-7440,Pathankot,Amritsar,118.5
RT677,PB-44-7568,Patiala,Chandigarh,66.5
RT229,PB-95-8723,Moga,Bathinda,87.8
RT918,PB-86-1272,Amritsar,Moga,110.5
RT270,PB-13-5532,Patiala,Kapurthala,177.8
RT319,PB-69-4434,Moga,Ropar,167.0
RT928,PB-15-3881,Bathinda,Ropar,214.1
RT153,PB-57-6919,Patiala,Mohali,65.7
RT477,PB-20-3766,Chandigarh,Patiala,71.0
RT401,PB-35-4452,Bathinda,Jalandhar,173.1
RT412,PB-89-8619,Bathinda,Ropar,215.3
RT626,PB-23-8551,Hoshiarpur,Moga,133.1
RT608,PB-75-7156,Ropar,Moga,158.6
RT573,PB-86-8075,Hoshiarpur,Amritsar,124.9
RT380,PB-10-8247,Patiala,Ropar,92.2
RT160,PB-82-9478,Chandigarh,Ropar,45.4
RT914,PB-99-9784,Mohali,Ropar,40.7
RT796,PB-53-5056,Patiala,Chandigarh,71.3
RT586,PB-64-9180,Bathinda,Hoshiarpur,203.3
RT699,PB-65-2556,Ropar,Chandigarh,44.7
RT527,PB-22-4392,Jalandhar,Pathankot,126.2
RT794,PB-16-3071,Mohali,Hoshiarpur,139.3
RT687,PB-94-6013,Amritsar,Mohali,245.1
RT900,PB-65-9571,Ferozepur,Moga,68.4
RT602,PB-75-1027,Ferozepur,Ludhiana,147.8
RT767,PB-76-1636,Jalandhar,Chandigarh,155.4
RT439,PB-86-6564,Amritsar,Patiala,255.8
RT202,PB-13-6848,Jalandhar,Mohali,149.2
RT227,PB-10-9511,Bathinda,Amritsar,182.5
RT454,PB-69-7402,Chandigarh,Kapurthala,176.3
RT317,PB-68-7248,Chandigarh,Kapurthala,193.8
RT102,PB-25-1157,Ropar,Amritsar,208.1
RT760,PB-67-3293,Ludhiana,Pathankot,186.6
RT803,PB-71-6986,Ferozepur,Ludhiana,137.2
RT610,PB-55-3839,Kapurthala,Hoshiarpur,61.5
RT386,PB-50-9568,Patiala,Jalandhar,168.3
RT970,PB-76-8280,Ropar,Chandigarh,42.8
RT600,PB-21-8325,Amritsar,Mohali,254.4
RT496,PB-83-8709,Ludhiana,Jalandhar,66.3
RT683,PB-60-5542,Amritsar,Mohali,240.6
RT459,PB-80-3306,Hoshiarpur,Ludhiana,90.6
RT614,PB-82-6376,Pathankot,Amritsar,126.1
RT430,PB-11-3057,Amritsar,Mohali,252.1
RT867,PB-13-2141,Chandigarh,Kapurthala,183.2
RT190,PB-95-4432,Ludhiana,Ferozepur,149.4
RT561,PB-36-3730,Ferozepur,Mohali,253.0
RT698,PB-81-5586,Ludhiana,Chandigarh,112.5
RT568,PB-96-6591,Amritsar,Pathankot,127.0
RT340,PB-14-9293,Pathankot,Patiala,261.4
RT416,PB-75-6742,Patiala,Chandigarh,74.9
RT274,PB-56-3804,Hoshiarpur,Ferozepur,165.2
RT119,PB-79-6261,Ludhiana,Hoshiarpur,89.7
RT914,PB-51-7874,Bathinda,Patiala,178.2
RT565,PB-55-6780,Ferozepur,Chandigarh,263.0
RT197,PB-52-6043,Jalandhar,Chandigarh,168.1
RT806,PB-69-5661,Chandigarh,Jalandhar,156.6
RT343,PB-96-8720,Moga,Kapurthala,76.1
RT402,PB-59-5653,Kapurthala,Hoshiarpur,64.6
RT566,PB-85-3386,Amritsar,Bathinda,198.4
RT470,PB-29-8933,Mohali,Ropar,40.5
RT636,PB-44-3568,Mohali,Patiala,64.0
RT689,PB-11-2088,Mohali,Bathinda,228.7
RT513,PB-67-8572,Ludhiana,Amritsar,151.7
RT632,PB-88-9809,Kapurthala,Ferozepur,112.6
RT630,PB-89-1190,Bathinda,Ludhiana,148.0
RT349,PB-16-7006,Pathankot,Hoshiarpur,106.9
RT291,PB-57-7331,Mohali,Amritsar,240.3
RT646,PB-90-5955,Amritsar,Ludhiana,158.2
RT229,PB-96-6646,Jalandhar,Pathankot,124.5
RT620,PB-23-4147,Chandigarh,Amritsar,266.7
RT266,PB-36-6621,Mohali,Patiala,65.9
RT721,PB-31-2193,Ludhiana,Kapurthala,89.4
RT486,PB-83-2335,Jalandhar,Ferozepur,124.9
RT160,PB-44-1637,Moga,Hoshiarpur,122.9
RT583,PB-51-3552,Amritsar,Bathinda,189.5
RT843,PB-22-4117,Hoshiarpur,Kapurthala,62.1
RT625,PB-96-1371,Mohali,Jalandhar,156.9
RT761,PB-31-2239,Patiala,Ludhiana,102.1
RT646,PB-84-8364,Ropar,Pathankot,213.0
RT504,PB-49-4310,Ferozepur,Amritsar,99.5
RT555,PB-64-8735,Jalandhar,Ferozepur,120.0
RT809,PB-64-3195,Ludhiana,Moga,80.7
RT546,PB-33-8999,Kapurthala,Ferozepur,113.1
RT834,PB-72-3643,Amritsar,Ropar,220.5
RT947,PB-43-1279,Pathankot,Ropar,203.5
RT652,PB-52-5664,Kapurthala,Chandigarh,194.5
RT424,PB-26-6547,Moga,Pathankot,195.7
RT989,PB-23-5314,Moga,Bathinda,87.7
RT929,PB-52-1827,Pathankot,Chandigarh,234.0
RT619,PB-22-8918,Patiala,Bathinda,163.4
RT305,PB-99-9506,Mohali,Bathinda,215.4
RT624,PB-31-7375,Amritsar,Ludhiana,145.8
RT824,PB-76-6594,Chandigarh,Mohali,8.6
RT499,PB-71-1227,Ferozepur,Moga,63.2
RT753,PB-49-4933,Hoshiarpur,Chandigarh,147.2
RT344,PB-47-9719,Ferozepur,Chandigarh,251.3
RT298,PB-49-2065,Patiala,Chandigarh,68.6
RT956,PB-41-1355,Bathinda,Hoshiarpur,203.5
RT967,PB-44-1550,Ludhiana,Jalandhar,70.2
RT358,PB-74-7208,Moga,Patiala,155.2
RT174,PB-63-7060,Ludhiana,Hoshiarpur,89.7
RT503,PB-56-1201,Patiala,Bathinda,170.8
RT864,PB-47-7176,Moga,Kapurthala,78.3
RT696,PB-28-5295,Ludhiana,Hoshiarpur,82.2
RT509,PB-15-1540,Jalandhar,Bathinda,174.6
RT616,PB-51-6532,Jalandhar,Ludhiana,65.9
RT409,PB-51-6059,Bathinda,Amritsar,189.7
RT876,PB-48-9959,Amritsar,Chandigarh,257.4
RT951,PB-81-3362,Amritsar,Kapurthala,65.5
RT435,PB-52-1566,Jalandhar,Mohali,158.9
RT476,PB-91-5436,Ludhiana,Pathankot,191.6
RT525,PB-34-9826,Ropar,Hoshiarpur,105.5
RT225,PB-83-6267,Jalandhar,Patiala,162.8
RT208,PB-98-2857,Ropar,Bathinda,203.5
RT750,PB-69-5377,Jalandhar,Ludhiana,66.5
RT612,PB-59-6445,Ludhiana,Kapurthala,88.0
RT703,PB-96-1410,Amritsar,Kapurthala,68.9
RT435,PB-58-3942,Bathinda,Ferozepur,103.8
RT899,PB-57-4060,Ferozepur,Patiala,234.9
RT223,PB-27-8973,Hoshiarpur,Patiala,172.5
RT622,PB-62-1608,Moga,Chandigarh,195.0
RT772,PB-69-1652,Mohali,Jalandhar,166.2
RT833,PB-83-6776,Chandigarh,Bathinda,219.7
RT959,PB-87-8839,Ferozepur,Mohali,233.7
RT653,PB-40-6088,Patiala,Bathinda,178.8
RT957,PB-38-6754,Moga,Ropar,168.6
RT981,PB-16-9055,Pathankot,Ferozepur,207.3
RT627,PB-78-9749,Ropar,Amritsar,218.2
RT213,PB-72-5007,Hoshiarpur,Jalandhar,47.1
RT740,PB-11-7501,Jalandhar,Patiala,156.5
RT873,PB-59-9708,Chandigarh,Moga,185.9
RT365,PB-36-5779,Ferozepur,Ludhiana,141.2
RT174,PB-35-3794,Bathinda,Mohali,226.0
RT433,PB-49-1972,Jalandhar,Moga,82.9
RT259,PB-23-7513,Amritsar,Kapurthala,69.5
RT692,PB-60-7039,Ludhiana,Jalandhar,63.2
RT705,PB-80-1705,Moga,Amritsar,111.2
RT393,PB-43-3795,Hoshiarpur,Kapurthala,62.8
RT998,PB-43-3485,Pathankot,Chandigarh,253.4
RT281,PB-12-1181,Pathankot,Bathinda,299.6
RT354,PB-97-3673,Pathankot,Ludhiana,189.1
RT992,PB-95-4368,Pathankot,Chandigarh,258.4
RT868,PB-86-4996,Kapurthala,Ferozepur,112.3
RT406,PB-93-8670,Patiala,Moga,156.9
RT667,PB-91-2609,Ropar,Ludhiana,78.2
RT286,PB-24-9719,Ropar,Jalandhar,126.1
RT572,PB-48-6377,Pathankot,Chandigarh,260.6
RT837,PB-91-5874,Ropar,Moga,159.7
RT741,PB-60-5118,Ferozepur,Kapurthala,105.0
RT126,PB-85-1337,Moga,Amritsar,113.2
RT887,PB-79-2492,Jalandhar,Patiala,159.4
RT879,PB-30-4107,Ludhiana,Ferozepur,149.2
RT742,PB-32-2636,Kapurthala,Bathinda,171.5
RT524,PB-11-7236,Patiala,Bathinda,168.7
RT143,PB-73-7547,Chandigarh,Bathinda,219.8
RT489,PB-48-2874,Ludhiana,Patiala,98.1
RT556,PB-22-1492,Amritsar,Ludhiana,156.2
RT142,PB-55-2398,Ludhiana,Jalandhar,63.4
RT680,PB-21-8790,Jalandhar,Ludhiana,67.4
RT293,PB-62-2160,Chandigarh,Ropar,42.4
RT820,PB-86-6591,Ferozepur,Bathinda,100.7
RT913,PB-35-1249,Pathankot,Ludhiana,193.8
RT817,PB-87-7463,Hoshiarpur,Kapurthala,63.0
RT831,PB-14-4004,Chandigarh,Ropar,45.7
RT564,PB-47-1273,Pathankot,Hoshiarpur,99.9
RT750,PB-12-6952,Ferozepur,Ludhiana,144.0
RT986,PB-18-2563,Pathankot,Jalandhar,134.4
RT355,PB-50-1118,Chandigarh,Ferozepur,252.6
RT863,PB-21-3380,Jalandhar,Chandigarh,157.8
RT114,PB-29-4278,Chandigarh,Jalandhar,162.7
RT778,PB-65-8476,Mohali,Ferozepur,246.0
RT482,PB-46-3913,Amritsar,Chandigarh,258.1
RT951,PB-45-7787,Patiala,Mohali,64.8
RT953,PB-91-4745,Moga,Chandigarh,181.5
RT458,PB-49-9926,Hoshiarpur,Mohali,148.2
RT744,PB-74-8254,Ludhiana,Amritsar,146.3
RT774,PB-47-6265,Bathinda,Pathankot,296.3
RT665,PB-10-3388,Moga,Ferozepur,70.8
RT769,PB-84-2914,Chandigarh,Ludhiana,104.2
RT871,PB-45-1855,Chandigarh,Bathinda,216.2
RT119,PB-15-2319,Bathinda,Pathankot,286.1
RT868,PB-51-6508,Ropar,Kapurthala,138.8
RT754,PB-35-9674,Pathankot,Ferozepur,226.7
RT699,PB-15-7584,Ropar,Kapurthala,141.5
RT664,PB-40-7523,Chandigarh,Amritsar,254.6
RT511,PB-61-5214,Ferozepur,Jalandhar,120.5
RT578,PB-51-6351,Ropar,Jalandhar,127.1
RT653,PB-32-8884,Jalandhar,Ferozepur,117.2
RT127,PB-20-9532,Kapurthala,Amritsar,70.9
RT467,PB-70-7896,Patiala,Ferozepur,223.2
RT233,PB-31-8746,Amritsar,Ferozepur,94.3
RT205,PB-81-7844,Ropar,Jalandhar,127.0
RT840,PB-75-4693,Amritsar,Jalandhar,87.3
RT640,PB-99-3027,Bathinda,Hoshiarpur,225.0
RT963,PB-28-1634,Bathinda,Ferozepur,110.1
RT320,PB-13-9649,Pathankot,Chandigarh,238.4
RT955,PB-89-6670,Kapurthala,Jalandhar,23.8
RT616,PB-32-2862,Jalandhar,Patiala,165.4
RT781,PB-87-9438,Ludhiana,Ropar,83.1
RT758,PB-33-5718,Ferozepur,Moga,66.1
RT211,PB-93-1577,Chandigarh,Pathankot,256.9
RT676,PB-33-8914,Ferozepur,Patiala,233.8
RT515,PB-90-5847,Moga,Mohali,175.2
RT896,PB-52-2893,Ludhiana,Amritsar,160.1
RT176,PB-53-6635,Jalandhar,Amritsar,92.9
RT368,PB-47-7283,Kapurthala,Pathankot,128.4
RT973,PB-91-7327,Chandigarh,Patiala,71.4
RT323,PB-84-5077,Hoshiarpur,Pathankot,105.1
RT730,PB-16-8152,Bathinda,Ropar,204.3
RT532,PB-30-8137,Jalandhar,Chandigarh,162.8
RT754,PB-66-6537,Bathinda,Ludhiana,140.0
RT873,PB-74-1590,Jalandhar,Bathinda,169.9
RT707,PB-25-3122,Ropar,Moga,158.6
RT564,PB-66-9827,Chandigarh,Jalandhar,169.6
RT878,PB-96-3468,Ludhiana,Kapurthala,89.4
RT873,PB-32-9372,Patiala,Hoshiarpur,175.0
RT793,PB-50-5172,Bathinda,Patiala,160.2
RT911,PB-23-4744,Bathinda,Moga,82.6
RT124,PB-90-4567,Jalandhar,Ferozepur,131.7
RT384,PB-67-7943,Pathankot,Ropar,211.2
RT307,PB-62-3596,Ferozepur,Chandigarh,259.3
RT238,PB-30-8887,Amritsar,Bathinda,189.8
RT389,PB-31-9697,Chandigarh,Kapurthala,174.6
RT438,PB-67-9912,Kapurthala,Patiala,176.9
RT632,PB-57-8351,Hoshiarpur,Ferozepur,167.5
RT961,PB-56-3981,Hoshiarpur,Ludhiana,82.2
RT622,PB-23-4641,Chandigarh,Jalandhar,158.3
RT840,PB-11-8735,Ferozepur,Jalandhar,120.3
RT102,PB-65-9571,Mohali,Bathinda,206.9
RT688,PB-70-9376,Pathankot,Patiala,290.9
RT806,PB-34-4382,Ludhiana,Kapurthala,87.7
RT663,PB-88-1230,Ropar,Bathinda,215.6
RT235,PB-81-1619,Pathankot,Ropar,194.6
RT215,PB-17-4744,Ropar,Kapurthala,142.0
RT874,PB-87-5969,Patiala,Moga,155.3
RT425,PB-91-2147,Moga,Chandigarh,196.9
RT327,PB-41-1996,Mohali,Ropar,43.5
RT651,PB-71-6294,Mohali,Hoshiarpur,141.1
RT487,PB-78-6201,Kapurthala,Hoshiarpur,62.2
RT469,PB-29-2456,Amritsar,Patiala,260.1
RT611,PB-22-2314,Moga,Patiala,151.1
RT446,PB-90-4000,Amritsar,Hoshiarpur,126.8
RT960,PB-35-9211,Hoshiarpur,Ropar,100.3
RT156,PB-99-1724,Patiala,Pathankot,289.0
RT582,PB-95-4308,Bathinda,Chandigarh,225.5
RT187,PB-71-6967,Bathinda,Ropar,214.7
RT591,PB-50-6238,Kapurthala,Patiala,189.6
RT682,PB-78-1086,Ferozepur,Ludhiana,141.5
RT836,PB-69-6736,Ropar,Patiala,91.5
RT928,PB-21-4819,Pathankot,Bathinda,288.5
RT885,PB-40-7519,Jalandhar,Amritsar,96.9
RT775,PB-24-5770,Hoshiarpur,Pathankot,101.1
RT786,PB-61-4797,Chandigarh,Kapurthala,183.5
RT594,PB-59-5817,Bathinda,Jalandhar,177.4
RT151,PB-73-1636,Mohali,Ferozepur,251.6
RT574,PB-14-7243,Jalandhar,Pathankot,135.9
RT727,PB-61-4322,Bathinda,Ludhiana,137.4
RT721,PB-22-7224,Ropar,Mohali,44.5
RT585,PB-61-9314,Pathankot,Hoshiarpur,106.8
RT868,PB-58-4584,Ferozepur,Amritsar,104.0
RT189,PB-62-8031,Ropar,Chandigarh,42.0
RT262,PB-47-1264,Bathinda,Kapurthala,157.9
RT183,PB-95-4361,Jalandhar,Pathankot,127.8
RT886,PB-86-5601,Kapurthala,Ferozepur,108.5
RT471,PB-10-8852,Patiala,Pathankot,283.6
RT133,PB-95-2672,Bathinda,Ferozepur,100.4
RT731,PB-31-9903,Hoshiarpur,Pathankot,105.4
RT913,PB-61-8711,Pathankot,Moga,204.2
RT782,PB-15-4787,Pathankot,Chandigarh,251.3
RT108,PB-29-1098,Amritsar,Ropar,225.0
RT654,PB-83-3993,Amritsar,Ferozepur,96.4
RT382,PB-15-6565,Ludhiana,Moga,84.5
RT999,PB-81-7932,Amritsar,Chandigarh,253.2
RT811,PB-59-6342,Moga,Pathankot,199.0
RT929,PB-22-3072,Hoshiarpur,Chandigarh,144.9
RT329,PB-21-5954,Pathankot,Ludhiana,194.0
RT621,PB-40-8940,Pathankot,Ferozepur,216.5
RT799,PB-24-7076,Moga,Ropar,161.8
RT593,PB-91-9915,Moga,Amritsar,122.1
RT187,PB-40-3875,Patiala,Hoshiarpur,174.6
RT946,PB-83-4124,Amritsar,Hoshiarpur,119.5
RT131,PB-36-3091,Amritsar,Patiala,263.6
RT560,PB-15-1967,Pathankot,Moga,212.0
RT671,PB-24-8759,Ferozepur,Jalandhar,125.1
RT648,PB-51-4481,Jalandhar,Ropar,115.9
RT927,PB-68-4104,Hoshiarpur,Ferozepur,182.3
RT621,PB-24-6260,Mohali,Chandigarh,8.6
RT479,PB-17-8489,Ropar,Ludhiana,74.7
RT114,PB-80-5174,Pathankot,Ferozepur,222.0
RT716,PB-33-9323,Chandigarh,Mohali,8.2
RT827,PB-47-4259,Ropar,Ferozepur,236.3
